reference_article,date_vente,quantite_vendue,prix_unitaire,categorie,magasin,stock_actuel,promotion,temperature,jour_semaine
PROD001,2024-01-01,45,1500,Alimentaire,Dakar-Centre,200,0,28,Lundi
PROD001,2024-01-02,52,1500,Alimentaire,Dakar-Centre,155,0,27,Mardi
PROD001,2024-01-03,38,1500,Alimentaire,Dakar-Centre,103,0,29,Mercredi
PROD001,2024-01-04,61,1500,Alimentaire,Dakar-Centre,65,1,30,Jeudi
PROD001,2024-01-05,73,1500,Alimentaire,Dakar-Centre,120,1,31,Vendredi
PROD001,2024-01-06,89,1500,Alimentaire,Dakar-Centre,180,1,32,Samedi
PROD001,2024-01-07,67,1500,Alimentaire,Dakar-Centre,240,0,30,Dimanche
PROD001,2024-01-08,41,1500,Alimentaire,Dakar-Centre,199,0,28,Lundi
PROD001,2024-01-09,48,1500,Alimentaire,Dakar-Centre,151,0,27,Mardi
PROD001,2024-01-10,35,1500,Alimentaire,Dakar-Centre,116,0,26,Mercredi
PROD002,2024-01-01,23,2500,Cosmétique,Dakar-Centre,100,0,28,Lundi
PROD002,2024-01-02,28,2500,Cosmétique,Dakar-Centre,77,0,27,Mardi
PROD002,2024-01-03,19,2500,Cosmétique,Dakar-Centre,58,0,29,Mercredi
PROD002,2024-01-04,31,2500,Cosmétique,Dakar-Centre,89,1,30,Jeudi
PROD002,2024-01-05,35,2500,Cosmétique,Dakar-Centre,120,1,31,Vendredi
PROD002,2024-01-06,42,2500,Cosmétique,Dakar-Centre,155,1,32,Samedi
PROD002,2024-01-07,38,2500,Cosmétique,Dakar-Centre,193,0,30,Dimanche
PROD002,2024-01-08,21,2500,Cosmétique,Dakar-Centre,172,0,28,Lundi
PROD002,2024-01-09,26,2500,Cosmétique,Dakar-Centre,146,0,27,Mardi
PROD002,2024-01-10,18,2500,Cosmétique,Dakar-Centre,128,0,26,Mercredi
PROD003,2024-01-01,112,800,Boisson,Dakar-Centre,500,0,28,Lundi
PROD003,2024-01-02,125,800,Boisson,Dakar-Centre,388,0,27,Mardi
PROD003,2024-01-03,98,800,Boisson,Dakar-Centre,290,0,29,Mercredi
PROD003,2024-01-04,145,800,Boisson,Dakar-Centre,435,1,30,Jeudi
PROD003,2024-01-05,178,800,Boisson,Dakar-Centre,580,1,31,Vendredi
PROD003,2024-01-06,215,800,Boisson,Dakar-Centre,757,1,32,Samedi
PROD003,2024-01-07,186,800,Boisson,Dakar-Centre,972,0,30,Dimanche
PROD003,2024-01-08,108,800,Boisson,Dakar-Centre,864,0,28,Lundi
PROD003,2024-01-09,119,800,Boisson,Dakar-Centre,745,0,27,Mardi
PROD003,2024-01-10,93,800,Boisson,Dakar-Centre,652,0,26,Mercredi
PROD004,2024-01-01,8,12000,Électronique,Dakar-Centre,25,0,28,Lundi
PROD004,2024-01-02,10,12000,Électronique,Dakar-Centre,17,0,27,Mardi
PROD004,2024-01-03,6,12000,Électronique,Dakar-Centre,11,0,29,Mercredi
PROD004,2024-01-04,12,12000,Électronique,Dakar-Centre,23,1,30,Jeudi
PROD004,2024-01-05,15,12000,Électronique,Dakar-Centre,35,1,31,Vendredi
PROD004,2024-01-06,18,12000,Électronique,Dakar-Centre,50,1,32,Samedi
PROD004,2024-01-07,14,12000,Électronique,Dakar-Centre,68,0,30,Dimanche
PROD004,2024-01-08,7,12000,Électronique,Dakar-Centre,61,0,28,Lundi
PROD004,2024-01-09,9,12000,Électronique,Dakar-Centre,52,0,27,Mardi
PROD004,2024-01-10,5,12000,Électronique,Dakar-Centre,47,0,26,Mercredi
PROD005,2024-01-01,156,500,Hygiène,Dakar-Centre,800,0,28,Lundi
PROD005,2024-01-02,168,500,Hygiène,Dakar-Centre,644,0,27,Mardi
PROD005,2024-01-03,142,500,Hygiène,Dakar-Centre,476,0,29,Mercredi
PROD005,2024-01-04,189,500,Hygiène,Dakar-Centre,334,1,30,Jeudi
PROD005,2024-01-05,205,500,Hygiène,Dakar-Centre,523,1,31,Vendredi
PROD005,2024-01-06,238,500,Hygiène,Dakar-Centre,728,1,32,Samedi
PROD005,2024-01-07,212,500,Hygiène,Dakar-Centre,966,0,30,Dimanche
PROD005,2024-01-08,151,500,Hygiène,Dakar-Centre,815,0,28,Lundi
PROD005,2024-01-09,163,500,Hygiène,Dakar-Centre,652,0,27,Mardi
PROD005,2024-01-10,138,500,Hygiène,Dakar-Centre,514,0,26,Mercredi
